Author,Target,Description,Attack,Target Class,Attack Class,Link,Tags,Day,Month,Year,AttackGroup,AttackEncoded,AttackClassEncoded,TargetClassGroup,TargetClassEncoded,Africa,Asia,Australia,Europe,North America,South America,AuthorKnown
?,Shields Health Solutions,Shields Health Solutions notifies its patients after an the email account of an employee is hacked between October 22 and October 24 2019.,Account Hijacking,Q Human health and social work activities,CC,databreaches.net,Shields Health Solutions,7,2,2020,Account Hijacking,1,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,Redcar and Cleveland Council,Redcar and Cleveland Council is hit with a ransomware cyber-attack.,Malware,"O Public administration and defence, compulsory social security",CC,bbc.com,"Redcar and Cleveland Council, ransomware",8,2,2020,Malware,8,0,Public Sector/ Government,12,0,0,0,1,0,0,0
?,"50 sites of three of the world’s largest manufacturers of IoT devices in the Middle East, North America, and Latin America",Researchers from TrapX discover a malware campaign targeting 50 sites of three of the world’s largest manufacturers of IoT devices to install a variant of the Lemon_Duck cryptominer.,Malware,C Manufacturing,CC,securityaffairs.co,"TrapX, Lemon_Duck crypto",8,2,2020,Malware,8,0,Manufacturing/ Energy,8,0,0,0,0,1,0,0
?,Iran Internet infrastructure,Iran is allegedly hit with a powerful cyber attack able to take down the 25% if its Internet.,DDoS,J Information and communication,CW,forbes.com,Iran,9,2,2020,Denial of Service,5,2,Information/ Communication,7,0,1,0,0,0,0,0
Outlaw,Linux-based enterprise systems,Researchers from Trend Micro reveal a new campaign by the group known as Outlaw. This the time the group infiltrates Linux-based enterprise systems in order to hijack computer power and mine for the privacy coin Monero (XMR).,Malware,Y Multiple Industries,CC,coindesk.com,"Outlaw, Trend Micro, Crypto, Monero, XMR",10,2,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,1
?,Havre Public Schools,Havre Public Schools are hit with a ransomware attack.,Malware,P Education,CC,missoulacurrent.com,"Havre Public Schools, ransomware",10,2,2020,Malware,8,0,Education,2,0,0,0,0,1,0,0
?,Wilson Elser Moskowitz Edelman & Dicker,The law firm Wilson Elser Moskowitz Edelman & Dicker is hit with a ransomware attack.,Malware,M Professional scientific and technical activities,CC,abajournal.com,"Wilson Elser Moskowitz Edelman & Dicker, ransomware",10,2,2020,Malware,8,0,Information/ Communication,7,0,0,0,0,1,0,0
?,US Supply chain software providers,The FBI has warns the US private sector about an ongoing hacking campaign that's targeting supply chain software providers with the Kwampirs malware.,Malware,Y Multiple Industries,CC,zdnet.com,"FBI, Kwampirs",10,2,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Managing Service Providers,"A new ransomware called Ragnar Locker emerges, specifically targeting software commonly used by managed service providers to prevent their attack from being detected and stopped.",Malware,M Professional scientific and technical activities,CC,bleepingcomputer.com,"Ragnar Locker, Ransomware",10,2,2020,Malware,8,0,Information/ Communication,7,0,0,0,0,1,0,0
?,Single Individuals,"Researchers from Kaspersky spot a new malware called KBOT, a virus that spreads by injecting malicious code into Windows executable files, the first ""living"" virus in recent years spotted in the wild.",Malware,X Individual,CC,zdnet.com,"KBOT, Kaspersky",10,2,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,City of Garrison,The City of Garrison is hit with a ransomware attack.,Malware,"O Public administration and defence, compulsory social security",CC,scmagazine.com,"Garrison, Malware",10,2,2020,Malware,8,0,Public Sector/ Government,12,0,0,0,0,1,0,0
?,Vernon Schools,Vernon Schools shut down the internet after suffering a cyber attack.,Unknown,P Education,CC,databreaches.net,Vernon Schools,10,2,2020,Unknown,13,0,Education,2,0,0,0,0,1,0,0
?,"Industries susceptible to shipping disruptions including manufacturing, industrial, finance, transportation, pharmaceutical, and cosmetic","Proofpoint researchers uncover new Coronavirus-themed email attacks that focus on concerns around disruptions to global shipping, and aim to distribute the AZORult trojan.",Malware,Y Multiple Industries,CC,techrepublic.com,"Coronavirus, AZORult",10,2,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Nacogdoches Independent School District,A ransomware attack affects some computers at Nacogdoches Independent School District.,Malware,P Education,CC,ktre.com,"Nacogdoches Independent School District, ransomware",11,2,2020,Malware,8,0,Education,2,0,0,0,0,1,0,0
?,College of Family Physicians of Canada,Doctors from the College of Family Physicians of Canada are the targets of a phishing campaign.,Account Hijacking,Q Human health and social work activities,CC,cbc.ca,College of Family Physicians of Canada,11,2,2020,Account Hijacking,1,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,Baker Wotring,"The Baker Wotring law firm has its data exposed by the Maze gang, including fee agreements and diaries from personal injury cases.",Malware,M Professional scientific and technical activities,CC,abajournal.com,"Baker Wotring, Maze, ransomware",11,2,2020,Malware,8,0,Information/ Communication,7,0,0,0,0,1,0,0
?,Individuals in the U.S.,"The U.S. Federal Trade Commission (FTC) warns about ongoing scam campaigns that make use of the current Coronavirus global scale health crisis to bait potential targets from the United States via phishing emails, text messages, and social media.",Account Hijacking,X Individual,CC,bleepingcomputer.com,"U.S. Federal Trade Commission, FTC, Coronavirus",11,2,2020,Account Hijacking,1,0,Multiple Industries,9,0,0,0,0,1,0,0
?,American Express and Chase Customers,A clever phishing campaign is underway that pretends to be fraud protection emails from American Express and Chase that ask you to confirm if the listed credit card transactions are legitimate.,Account Hijacking,K Financial and insurance activities,CC,bleepingcomputer.com,"American Express, Chase",11,2,2020,Account Hijacking,1,0,Financial Services,4,0,0,0,0,1,0,0
?,The Pediatric Physicians’ Organization at Children’s (PPOC),The Pediatric Physicians’ Organization at Children’s (PPOC) is hit with a ransomware attack.,Malware,Q Human health and social work activities,CC,boston25news.com,"The Pediatric Physicians’ Organization at Children’s, (PPOC), ransomware",11,2,2020,Malware,8,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,Carson City,Carson City is the latest victim of the Click2Gov breach.,Malware,"O Public administration and defence, compulsory social security",CC,databreaches.net,"Carson City, Click2Gov",11,2,2020,Malware,8,0,Public Sector/ Government,12,0,0,0,0,1,0,0
?,Altice USA Inc.,"Altice USA Inc. exposes the Social Security numbers, birth dates and other personal information of all 12,000 current employees as well as some former employees and a small number of customers, after a phishing attack in November 2019.",Account Hijacking,J Information and communication,CC,databreaches.net,Altice USA Inc.,11,2,2020,Account Hijacking,1,0,Information/ Communication,7,0,0,0,0,1,0,0
?,Puerto Rico’s government,Puerto Rico’s government loses more than $2.6 million after falling for a Business Email Compromise Scam. The incident occurred on January 17.,Business Email Compromise,"O Public administration and defence, compulsory social security",CC,apnews.com,Puerto Rico,12,2,2020,Social Engineering,10,0,Public Sector/ Government,12,0,0,0,0,1,0,0
?,IOTA Foundation,"IOTA Foundation, the nonprofit organization behind the IOTA cryptocurrency, shuts down its entire network after hackers exploit a vulnerability in the IOTA wallet app to steal user funds.",Vulnerability,V Fintech,CC,zdnet.com,"IOTA Foundation, Crypto",12,2,2020,Vulnerability Exploitation,14,0,Financial Services,4,0,0,0,1,0,0,0
?,"Countries in South America and Central America, as well as the U.S.","Researchers from Cisco Talos discover a new campaign carried out through a new version of Loda, a remote access trojan written in AutoIT",Targeted attack,Y Multiple Industries,CE,blog.talosintelligence.com,"Cisco Talos, Loda",12,2,2020,Targeted Attack,12,1,Multiple Industries,9,0,0,0,0,1,0,0
?,Single Individuals,"Researchers from Emisoft discover a new ransomware strain, dubbed Ransomwared, asking for explicit images are ransom.",Malware,X Individual,CC,forbes.com,"Emisoft, ransomware, Ransomwared,",12,2,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Central Kansas Orthopedic Group,"Central Kansas Orthopedic Group notifies more than 17,000 patients to have suffered a ransomware attack on January 9, 2019.",Malware,Q Human health and social work activities,CC,databreaches.net,"Central Kansas Orthopedic Group, ransomware",12,2,2020,Malware,8,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,Palm Beach county's election office,it is reported that Palm Beach election office had its computer systems infected and encrypted by ransomware just weeks before the 2016 US presidential elections.,Malware,"O Public administration and defence, compulsory social security",CC,zdnet.com,"Florida, Ransomware",12,2,2020,Malware,8,0,Public Sector/ Government,12,0,0,0,0,1,0,0
?,Rutter's,Rutter's discloses that 71 locations were infected with a point-of-sale (POS) malware that was used by attackers to steal customers' credit card information.,Malware,G Wholesale and retail trade,CC,bleepingcomputer.com,Rutter's,13,2,2020,Malware,8,0,Retail Trade,14,0,0,0,0,1,0,0
?,Nedbank,"Nedbank discloses a security incident that impacts the personal details of 1.7 million users. The bank says the breach occurred at Computer Facilities (Pty) Ltd, a South African company the bank was using to send out marketing and promotional campaigns.",Vulnerability,K Financial and insurance activities,CC,zdnet.com,Nedbank,13,2,2020,Vulnerability Exploitation,14,0,Financial Services,4,1,0,0,0,0,0,0
MoleRATs (aka The Gaza Cybergang),Entities and individuals in the Palestinian territories,Researchers from Cybereason discover two simultaneous campaigns (Spark and Pierogi) targeting entities and individuals in the Palestinian territories.,Targeted attack,X Individual,CE,cybereason.com,MoleRATs (aka The Gaza Cybergang),13,2,2020,Targeted Attack,12,1,Multiple Industries,9,0,1,0,0,0,0,1
?,Chrome users,"Security researchers discover and take down a malicious campaign dating back to 2017, using up to 500 malicious Chrome extensions.",Malware,X Individual,CC,forbes.com,Chrome,13,2,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Multiple targets,A remote access Trojan named Parallax is being widely distributed through malicious spam campaigns that when installed allow attackers to gain full control over an infected system.,Malware,Y Multiple Industries,CC,bleepingcomputer.com,Parallax,13,2,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,SIngle Individuals,Researchers from IBM X-Force discover a new Emotet-powered sextortion campaign.,Malware,X Individual,CC,bleepingcomputer.com,"IBM X-Force, Emotet, Sextortion",13,2,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Relation Insurance,"Relation Insurance discloses a phishing attack occurred on August 15, 2019.",Account Hijacking,K Financial and insurance activities,CC,databreaches.net,Relation Insurance,13,2,2020,Account Hijacking,1,0,Financial Services,4,0,0,0,0,1,0,0
Hidden Cobra (AKA Lazarus Group),Targets in the US,Multiple U.S. government agencies warn of a newly intensifying threat from North Korea.,Targeted attack,Y Multiple Industries,CE,forbes.com,"Hidden Cobra, Lazarus Group",14,2,2020,Targeted Attack,12,1,Multiple Industries,9,0,0,0,0,1,0,1
?,Banks in the U.S. and Canada,Researchers from Lookout discover a phishing campaign focused on mobile banking used over 200 pages to impersonate legitimate websites for well-known banks in the U.S. and Canada.,Account Hijacking,K Financial and insurance activities,CC,bleepingcomputer.com,"Lookout, US, Canada",14,2,2020,Account Hijacking,1,0,Financial Services,4,0,0,0,0,1,0,0
?,27 companies,"A targeted phishing attack using SLK attachments is underway against twenty-seven companies, with some of them being well-known brands, to gain access to their corporate networks.",Account Hijacking,Y Multiple Industries,CE,bleepingcomputer.com,Phishing,14,2,2020,Account Hijacking,1,1,Multiple Industries,9,0,0,0,0,1,0,0
?,Single Individuals,Researchers from Trend Micro discover a new LokiBot campaign attempting to infect users by impersonating the launcher for Epic Games.,Malware,X Individual,CC,zdnet.com,"LokiBot, Trend Micro, Epic Games",14,2,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,PSL Services,"PSL Services notifies its clients of a phishing attack occurred on December 17, 2019.",Account Hijacking,M Professional scientific and technical activities,CC,databreaches.net,PSL Services,14,2,2020,Account Hijacking,1,0,Information/ Communication,7,0,0,0,0,1,0,0
?,Charleston Lube Partners,"Charleston Lube Partners reveals to have been hit by a PoS malware between February 14, 2019 and August 19, 2019.",Malware,I Accommodation and food service activities,CC,databreaches.net,Charleston Lube Partners,14,2,2020,Malware,8,0,Accommodation and Food Services,0,0,0,0,0,1,0,0
?,Port Lavaca,"The Port Lavaca City Hall is hit with a Ryuk ransomware attack,",Malware,"O Public administration and defence, compulsory social security",CC,cisomag.com,"Port Lavaca, Ryuk, ransomware",15,2,2020,Malware,8,0,Public Sector/ Government,12,0,0,0,0,1,0,0
OurMine,FC Barcelona Twitter Account,Hackers from the OurMine collective claim to have hijacked the Twitter account of FC Barcelona.,Account Hijacking,R Arts entertainment and recreation,CC,welivesecurity.com,"OurMine, FC Barcelona, Twitter",15,2,2020,Account Hijacking,1,0,Arts/ Entertainment,1,0,0,0,1,0,0,1
OurMine,The International Olympic Committee Twitter Account,The International Olympic Committee Twitter Account Twitter account is also hacked by OurMine,Account Hijacking,U Activities of extraterritorial organizations and bodies,CC,hotforsecurity.bitdefender.com,"OurMine, International Olympic Committee, Twitter",15,2,2020,Account Hijacking,1,0,Public Sector/ Government,12,0,0,0,0,1,0,1
?,Interactive Medical Systems,"Wake County notifies that 1,900 employees are affected by a phishing attack to Interactive Medical Systems, a former benefits administrator.",Account Hijacking,M Professional scientific and technical activities,CC,databreaches.net,"Wake County, Interactive Medical Systems",15,2,2020,Account Hijacking,1,0,Information/ Communication,7,0,0,0,0,1,0,0
?,Grand Est,The Grand Est region is hit with a ransomware attack.,Malware,"O Public administration and defence, compulsory social security",CC,databreaches.net,"Grand Est, ransomware",13,2,2020,Malware,8,0,Public Sector/ Government,12,0,0,0,1,0,0,0
?,INA Group,"A ransomware attack cripples some business operations at INA Group, Croatia's biggest oil company, and its largest petrol station chain.",Malware,D Electricity gas steam and air conditioning supply,CC,zdnet.com,"INA Group, ransomware",14,2,2020,Malware,8,0,Manufacturing/ Energy,8,0,0,0,1,0,0,0
?,BST,"A Maze ransomware attack on BST, an accounting firm in December exposes the patient data of Community Care Physicians, a large upstate New York medical group, as well as other clients of the firm.",Malware,K Financial and insurance activities,CC,databreachtoday.com,"Maze, BST, Community Care Physicians",14,2,2020,Malware,8,0,Financial Services,4,0,0,0,0,1,0,0
?,Tennessee Orthopaedic Alliance,"Tennessee Orthopaedic Alliance notifies more than 81,000 patients after discovering two employee email accounts had been compromised on October 18, 2019.",Account Hijacking,Q Human health and social work activities,CC,databreaches.net,Tennessee Orthopaedic Alliance,14,2,2020,Account Hijacking,1,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,Neebs Gaming YouTube channel,"Neebs Gaming, a highly popular YouTube gaming channel is hacked by unidentified crypto scammers, who change its name and banner to Coinbase Pro to collect Bitcoin from its viewers/subscribers.",Account Hijacking,R Arts entertainment and recreation,CC,hackread.com,"Neebs Gaming, YouTube, Coinbase Pro, Bitcoin",15,2,2020,Account Hijacking,1,0,Arts/ Entertainment,1,0,0,0,0,1,0,0
?,Lodi School District,School officials in Lodi are investigating after student data is breached at two different schools: Bear Creek High and Ronald E. McNair High.,Unknown,P Education,CC,databreaches.net,Lodi School District,15,2,2020,Unknown,13,0,Education,2,0,0,0,0,1,0,0
Fox Kitten,"Companies from the IT, Telecommunication, Oil and Gas, Aviation, Government, and Security sectors",Researchers from ClearSky reveal that Iran's government-backed hacking units have made a top priority last year to exploit VPN bugs to infiltrate and plant backdoors in companies all over the world.,Vulnerability,Y Multiple Industries,CE,zdnet.com,"ClearSky, Fox Kitten, CVE-2019-11510, CVE-2018-13379, CVE-2019-1579, CVE-2019-19781",16,2,2020,Vulnerability Exploitation,14,1,Multiple Industries,9,0,0,0,0,1,0,1
APT-C-23,Israel Defense Force (IDF) soldiers,"An IDF’s spokesperson reveals that IDF (Israel Defense Force) and ISA (Israel Security Agency AKA “Shin Bet”) conducted a joint operation to take down a Hamas operation targeting IDF soldiers, dubbed ‘Rebound’.",Targeted Attack,"O Public administration and defence, compulsory social security",CE,bleepingcomputer.com,"Israel Defense Force, IDF, APT-C-23, ISA, Israel Security Agency",16,2,2020,Targeted Attack,12,1,Public Sector/ Government,12,0,1,0,0,0,0,1
?,Vulnerable Wordpress sites,Researchers from WebARX reveal the details of a currently exploited vulnerability targeting the ThemeGrill Demo Importer plugin that allows the attackers to completely wipe a Wordpress site.,Vulnerability,Y Multiple Industries,CC,bleepingcomputer.com,"WebARX, ThemeGrill Demo Importer, Wordpress",16,2,2020,Vulnerability Exploitation,14,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Butler County Community College,Butler County Community College is hit with a ransomware attack.,Malware,P Education,CC,databreaches.net,"Butler County Community College, ransomware",16,2,2020,Malware,8,0,Education,2,0,0,0,0,1,0,0
?,ISS World,"A ransomware attack hits the major facilities company ISS World, which has half a million employees worldwide.",Malware,N Administrative and support service activities,CC,bbc.com,ISS World,17,2,2020,Malware,8,0,Public Sector/ Government,12,0,0,0,1,0,0,0
?,More than 80 Turkish companies,"Check Point researchers discover an evolving, ongoing malspam campaign targeting more than 80 Turkish companies, distributing the Adwind RAT.",Malware,Y Multiple Industries,CC,research.checkpoint.com,"Check Point, Adwind RAT",17,2,2020,Malware,8,0,Multiple Industries,9,0,0,0,1,0,0,0
?,Multiple targets,IBM X-Force Threat Intelligence researchers discover a phishing campaign distributing the Lokibot information stealer malware via emails designed to look like they're sent by the Ministry of Health of the People's Republic of China and containing emergency Coronavirus regulations in English.,Malware,Y Multiple Industries,CC,bleepingcomputer.com,"IBM X-Force, Lokibot, Ministry of Health of the People's Republic of China, Coronavirus, COVID-19",17,2,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Single Individuals,The World Health Organization (WHO) warns of ongoing Coronavirus-themed phishing attacks that impersonate the organization with the end goal of stealing information and delivering malware.,Malware,X Individual,CC,bleepingcomputer.com,"World Health Organization, WHO, Coronavirus, COVID-19",17,2,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Instagram users in Russia,A large-scale phishing campaign is running on Instagram to bait Russians with a fake presidential decree that promises a lump-sum payment for a citizen to start their own business.,Account Hijacking,X Individual,CC,bleepingcomputer.com,Instagram,17,2,2020,Account Hijacking,1,0,Multiple Industries,9,0,0,0,1,0,0,0
?,Rabun County,The Rabun County is hit with a ransomware attack.,Malware,"O Public administration and defence, compulsory social security",CC,databreaches.net,"Rabun County, ransomware",17,2,2020,Malware,8,0,Public Sector/ Government,12,0,0,0,0,1,0,0
?,East House,"East House provide notices of a phishing attack occurred on July 25, 2019.",Account Hijacking,Q Human health and social work activities,CC,databreaches.net,East House,17,2,2020,Account Hijacking,1,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,Monroe County Hospital & Clinics,"More than 7,000 patients of Monroe County Hospital & Clinics are notified that their personal information may have been leaked in a phishing attack occurred on December 2019.",Account Hijacking,Q Human health and social work activities,CC,databreaches.net,Monroe County Hospital & Clinics,17,2,2020,Account Hijacking,1,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,Undisclosed natural gas compression facility,The Cybersecurity and Infrastructure Security Agency (CISA) alerts organizations across all critical U.S. infrastructure sectors about a recent ransomware attack that affected a natural gas compression facility.,Malware,D Electricity gas steam and air conditioning supply,CC,bleepingcomputer.com,"Cybersecurity and Infrastructure Security Agency, CISA, ransomware",18,2,2020,Malware,8,0,Manufacturing/ Energy,8,0,0,0,0,1,0,0
?,Vulnerable Wordpress sites,"Researchers from Wordfence reveal that a zero-day vulnerability in the ThemeREX Addons, a WordPress plugin installed on thousands of sites, is actively exploited by attackers to create user accounts with admin permissions and potentially fully taking over the vulnerable website.",Vulnerability,Y Multiple Industries,CC,bleepingcomputer.com,"Wordfence, ThemeREX Addons, WordPress",18,2,2020,Vulnerability Exploitation,14,0,Multiple Industries,9,0,0,0,0,1,0,0
?,ProtonVPN users,Researchers from Kaspersky discover a fake ProtonVPN website used since November 2019 to deliver the AZORult information-stealing malware to potential victims in the form of fake ProtonVPN installers.,Malware,X Individual,CC,bleepingcomputer.com,"Kaspersky, ProtonVPN, AZORult",18,2,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Windows users in Italy,Threat actors are distributing the Dharma Ransomware in a new spam campaign targeting Windows users in Italy.,Malware,X Individual,CC,bleepingcomputer.com,"Dharma, Ransomware",18,2,2020,Malware,8,0,Multiple Industries,9,0,0,0,1,0,0,0
?,Government Data Center in Rwanda,A Rwandan data centre that hosts servers related to the country’s government is taken down by hackers.,DDoS,"O Public administration and defence, compulsory social security",CC,databreaches.net,Rwanda,18,2,2020,Denial of Service,5,0,Public Sector/ Government,12,1,0,0,0,0,0,0
?,MGM Resorts,The personal details of more than 10.6 million users who stayed at MGM Resorts hotels have been published on a hacking forum this week.,Misconfiguration,I Accommodation and food service activities,CC,zdnet.com,MGM Resorts,19,2,2020,Exploitation of Infrastructure,6,0,Accommodation and Food Services,0,0,0,0,0,1,0,0
DRBControl,"Gambling companies located in Southeast Asia, Europe and the Middle East","Researchers from Trend Micro and Talent-Jump reveal the details of DRBControl, a criminal organization focused on gambling companies.",Targeted Attack,R Arts entertainment and recreation,CC,zdnet.com,"Trend Micro, Talent-Jump, DRBControl",19,2,2020,Targeted Attack,12,0,Arts/ Entertainment,1,0,0,0,0,1,0,1
Exaggerated Lion,Thousands of U.S. companies,"Researchers uncover a new business email compromise (BEC) threat actor, which they call Exaggerated Lion, targeting thousands of U.S. companies with money pilfering scams.",Business Email Compromise,Y Multiple Industries,CC,threatpost.com,"Agari, Exaggerated Lion",19,2,2020,Social Engineering,10,0,Multiple Industries,9,0,0,0,0,1,0,1
?,US Taxpayers,"Proofpoint researchers detect the first attacks in theme with the tax season carried out via tax-themed emails with malicious attachments, and legitimate tax-focused websites compromised to deliver malware",Malware,X Individual,CC,techrepublic.com,"Proofpoint, Tax",19,2,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Swiss companies,"Switzerland’s Reporting and Analysis Centre for Information Assurance (MELANI) warns of ongoing ransomware attacks targeting the systems of Swiss small, medium-sized, and large companies.",Malware,Y Multiple Industries,CC,bleepingcomputer.com,"Switzerland’s Reporting and Analysis Centre for Information Assurance, MELANI, ransomware",19,2,2020,Malware,8,0,Multiple Industries,9,0,0,0,1,0,0,0
?,Multiple targets,"Researchers from Prevailion reveal the details of ""PHPs Labyrinth"", a campaign active since 2017, infecting more than 20,000 WordPress sites via malicious plugins.",Malware,Y Multiple Industries,CC,bleepingcomputer.com,"Prevailion, PHPs Labyrinth, WordPress",19,2,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Multiple targets,Security researcher Marco Ramilli discover a new batch of e-commerce sites compromised by a Magecart attack.,Malware,G Wholesale and retail trade,CC,securityaffairs.co,"Marco Ramilli, Magecart.",19,2,2020,Malware,8,0,Retail Trade,14,0,0,0,0,1,0,0
?,Ministère de l’Éducation et de l’Enseignement Supérieur,"The PII of at least 51,400, and possibly as many as 360,000 educators, in Quebec Province are exposed when a malicious actor obtained login credentials to the Ministère de l’Éducation et de l’Enseignement Supérieur network.",Unknown,"O Public administration and defence, compulsory social security",CC,scmagazine.com,Ministère de l’Éducation et de l’Enseignement Supérieur,19,2,2020,Unknown,13,0,Public Sector/ Government,12,0,0,0,0,1,0,0
?,US Bank Customers,Researchers from IBM X-Force discover a new Emotet campaign spread via SMS messages pretending to be from banks and may have ties to the TrickBot trojan.,Malware,K Financial and insurance activities,CC,threatpost.com,"IBM, X-Force, Emotet, TrickBot",19,2,2020,Malware,8,0,Financial Services,4,0,0,0,0,1,0,0
?,Maroof International Hospital,Maroof International Hospital is hit with a severe ransomware attack,Malware,Q Human health and social work activities,CC,databreaches.net,"Maroof International Hospital, ransomware",19,2,2020,Malware,8,0,Healthcare/ Social Services,5,0,1,0,0,0,0,0
?,City of Wayne,The city of Wayne is hit with a ransomware attack.,Malware,"O Public administration and defence, compulsory social security",CC,databreaches.net,"City of Wayne, ransomware",19,2,2020,Malware,8,0,Public Sector/ Government,12,0,0,0,0,1,0,0
?,United Regional Health Care System,"United Regional Health Care System discloses an incident that occurred last July when someone accessed an employee email account. 2,000 individuals are affected.",Account Hijacking,P Education,CC,databreaches.net,United Regional Health Care System,19,2,2020,Account Hijacking,1,0,Education,2,0,0,0,0,1,0,0
?,Defence Information Systems Agency (DISA),The U.S. Defence Information Systems Agency reveals that Social Security numbers and other personal data in its network may have been compromised between May and July 2019,Unknown,"O Public administration and defence, compulsory social security",CC,reuters.com,"Defence Information Systems Agency, DISA",20,2,2020,Unknown,13,0,Public Sector/ Government,12,0,0,0,0,1,0,0
?,Targets in Southeast Asia,"Researchers from Cisco Talos uncover a new campaign, carried out via a remote access tool dubbed ObliqueRAT, focused on targets in Southeast Asia.",Targeted Attack,Y Multiple Industries,CE,zdnet.com,"Cisco Talos, ObliqueRAT",20,2,2020,Targeted Attack,12,1,Multiple Industries,9,0,0,0,0,1,0,0
?,IIT Madras,IIT Madras is hit with the GlobeImposter ransomware.,Malware,P Education,CC,edexlive.com,"IIT Madras, GlobeImposter, ransomware",20,2,2020,Malware,8,0,Education,2,0,1,0,0,0,0,0
?,Nine websites,Security researchers discover a new batch of nine websites infected with malicious JavaScript that steals payment card info from online shoppers.,Malware,G Wholesale and retail trade,CC,bleepingcomputer.com,Magecart,20,2,2020,Malware,8,0,Retail Trade,14,0,0,0,0,1,0,0
?,VibrantCare Rehabilitation,"VibrantCare Rehabilitation notifies 1,655 patients after an employee’s email account is accessed.",Account Hijacking,Q Human health and social work activities,CC,databreaches.net,VibrantCare Rehabilitation,20,2,2020,Account Hijacking,1,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,San Felipe Del Rio CISD,A business email compromise targets the San Felipe Del Rio CISD.,Business Email Compromise,P Education,CC,databreaches.net,San Felipe Del Rio CISD,20,2,2020,Social Engineering,10,0,Education,2,0,0,0,0,1,0,0
?,South Adams Schools district,The South Adams Schools district is hit with a ransomware attack.,Malware,P Education,CC,databreaches.net,"South Adams Schools district, ransomware",20,2,2020,Malware,8,0,Education,2,0,0,0,0,1,0,0
?,Android users,"Security researchers from Check Point discover a new mobile threat called Haken, hidden in 8 applications.",Malware,X Individual,CC,forbes.com,"Check Point, Haken, Joker, Android",21,2,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
Lynx,Slickwraps,"Slickwraps suffers a data breach after an individual is able to access their systems and after receiving no response to emails, publicly discloses how the access to the site was gained and the data that was exposed.",Vulnerability,C Manufacturing,CC,bleepingcomputer.com,"Lynx, Slickwraps",21,2,2020,Vulnerability Exploitation,14,0,Manufacturing/ Energy,8,0,0,0,0,1,0,1
?,Reading Municipal Light Department (RMLD),"The Reading Municipal Light Department (RMLD), an electric utility in Massachusetts, announces it was hit by a ransomware attack.",Malware,D Electricity gas steam and air conditioning supply,CC,securityaffairs.co,"Reading Municipal Light Department, RMLD, ransomware",21,2,2020,Malware,8,0,Manufacturing/ Energy,8,0,0,0,0,1,0,0
Pakistan?,Indian diplomats and military personnel in some embassies,"Researchers from Cybaze-Yoroi ZLab discover that operation Transparent Tribe, allegedly carried out by Pakistan against Indian targets is back after four years.",Targeted Attack,"O Public administration and defence, compulsory social security",CE,securityaffairs.co,"Cybaze-Yoroi ZLlab, Operation Transparent Tribe, Pakistan, India",21,2,2020,Targeted Attack,12,1,Public Sector/ Government,12,0,1,0,0,0,0,1
?,Multiple targets,Researchers from Cofense discover an uptick in phishing attempts using a fake and badly created Office 365 credentials update form.,Account Hijacking,Y Multiple Industries,CC,scmagazine.com,"Cofense, Office 365",21,2,2020,Account Hijacking,1,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Endeavor Energy Resources,Endeavor Energy Resources notifies employees and dependents after employee fell prey to phishing attack on January 14.,Account Hijacking,D Electricity gas steam and air conditioning supply,CC,databreaches.net,Endeavor Energy Resources,21,2,2020,Account Hijacking,1,0,Manufacturing/ Energy,8,0,0,0,0,1,0,0
?,Moses Lake School District,The Moses Lake School District is hit by a ransomware attack.,Malware,P Education,CC,databreaches.net,"Moses Lake School District, ransomware",21,2,2020,Malware,8,0,Education,2,0,0,0,0,1,0,0
?,Jackson Public Schools,Jackson Public Schools is hit with a ransomware attack.,Malware,P Education,CC,databreaches.net,"Jackson Public Schools, ransomware",21,2,2020,Malware,8,0,Education,2,0,0,0,0,1,0,0
